Datos;Data Augmentation;Balanceado;Épocas;Total;Train;Test;Time(m);Accuracy;F1;Recall;Precision;Cohen Kappa;Average Acurracy;HY;LP;TC;TR;VT
Reales;Ninguno;NO;10;6145;4916;1229;4.2;62.8;63.9;62.8;66.7;67.6;62.8;38.9;74.8;73.5;33.3;93.4
Artificiales;Rotación 5-25;SI;20;13430;10744;2686;20.9;94.2;94;94.2;94;92.6;94.2;99.8;96.3;83.1;96.1;95.8
Reales + artificiales;Rotación 5-25;SI;20;13430;10744;2686;18.7;91.5;91.4;91.5;91.4;89.2;91.5;98.4;92.4;83.5;93.3;89.6
Reales + artificiales;Jittering 0.01-0.1;SI;20;13430;10744;2686;17.9;84.1;83.5;84.1;83.7;79.6;84.1;94.4;90.7;62.1;82.4;90.8
Reales + artificiales;Jittering 0.001-0.01;SI;20;13430;10744;2686;21.7;90.8;90.6;90.8;90.6;88.3;90.8;96.9;95.7;77.7;90.2;93.6
Artificiales;Jittering 0.01-0.1;SI;20;13430;10744;2686;20.3;87.7;87.6;87.7;87.9;84.6;87.7;98.7;88.5;78.1;91.3;81.7
Artificiales;Jittering 0.001-0.01;SI;20;13430;10744;2686;21;93.5;93.4;93.5;93.5;91.8;93.5;98.9;95.9;83;97;92.8
Artificiales;AG SegTam(5s) SegCruce(3);SI;20;13430;10744;2686;17;86.4;86.2;86.4;86.3;82.8;86.4;92.6;90.7;74.6;85.6;88.6
Artificiales;AG SegTam(5s) SegCruce(5);SI;20;13430;10744;2686;16.9;85.8;85.5;85.8;85.9;81.9;85.8;90.4;94.4;75.1;77.3;91.8
Artificiales;AG1 Pcje(40%) SegCruce(10) T;SI;20;13430;10744;2686;17.3;83;82.9;83;83;78.6;83;89.2;83.1;77.2;73.9;91.8
Artificiales;AG1 Pcje(45%) SegCruce(10) T;SI;20;13430;10744;2686;17.1;83.2;83.2;83.2;83.3;78.8;83.2;89.5;86;75.3;76.9;88.2
Artificiales;SA FrePje(10%) FreCant(2) TimPje(10%) TimCant(2);SI;20;13430;10744;2686;17;91.7;91.5;91.7;91.5;89.4;91.7;97.5;94.8;83.5;89.5;93.2
Artificiales;SA FrePje(15%) FreCant(2) TimPje(15%) TimCant(2);SI;20;13430;10744;2686;16.9;86.6;86.4;86.6;86.4;83.1;86.6;96;85.6;75.8;87.2;88.2
Artificiales;Interpolación AE 40%-60%;SI;20;13430;10744;2686;17.9;93.1;93.1;93.1;93.3;91.3;93.1;97.6;96.5;83.7;96.5;91.4
